epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,264.58,0.39116,0.49811,0.93594,0.77778,0.66667,0.71972,0.61114,1.18998,0.95142,1.25255,1.05722e-05,1.05722e-05,1.05722e-05
41,271.171,0.4556,0.31001,1.0173,0.77778,0.66667,0.71972,0.60896,1.1952,0.96365,1.25357,9.9008e-06,9.9008e-06,9.9008e-06
42,277.755,0.32436,0.21999,0.92995,0.77778,0.66667,0.71972,0.60896,1.1952,0.96365,1.25357,9.18228e-06,9.18228e-06,9.18228e-06
43,284.462,0.38563,0.22506,1.02171,0.77778,0.66667,0.71972,0.60896,1.19792,0.97999,1.25698,8.41663e-06,8.41663e-06,8.41663e-06
44,290.697,0.32873,0.23257,0.82546,0.77778,0.66667,0.71972,0.60896,1.19792,0.97999,1.25698,7.60386e-06,7.60386e-06,7.60386e-06
45,297.006,0.4116,0.20784,0.93306,0.77778,0.66667,0.71972,0.60896,1.20435,1.00567,1.26208,6.74397e-06,6.74397e-06,6.74397e-06
46,303.336,0.40876,0.27938,0.99051,0.77778,0.66667,0.71972,0.60896,1.20435,1.00567,1.26208,5.83695e-06,5.83695e-06,5.83695e-06
47,309.986,0.25133,0.22465,0.84951,0.77778,0.66667,0.71972,0.61114,1.20138,1.00424,1.26276,4.88281e-06,4.88281e-06,4.88281e-06
48,316.311,0.26324,0.18878,0.81,0.77778,0.66667,0.71972,0.61114,1.20138,1.00424,1.26276,3.88154e-06,3.88154e-06,3.88154e-06
49,322.609,0.28572,0.21824,0.88228,0.75,0.58333,0.68542,0.59682,1.20373,1.0299,1.26697,2.83315e-06,2.83315e-06,2.83315e-06
50,328.844,0.41099,0.2516,0.98865,0.75,0.58333,0.68542,0.59682,1.20373,1.0299,1.26697,1.73764e-06,1.73764e-06,1.73764e-06
